Transaction Date,Post Date,Description,Category,Type,Amount,Memo
10/14/2024,10/15/2024,TST* ACEITUNA CAFE,Food & Drink,Sale,-15.99,
10/13/2024,10/14/2024,BLACK COW,Food & Drink,Sale,-36.40,
10/12/2024,10/14/2024,TST*EVERYDAY JOES,Food & Drink,Sale,-2.42,
10/12/2024,10/14/2024,TST*EVERYDAY JOES,Food & Drink,Sale,-17.13,
10/11/2024,10/13/2024,DUNKIN #346905,Food & Drink,Sale,-3.18,
10/10/2024,10/13/2024,QUICK FOOD MART,Groceries,Sale,-3.63,
10/12/2024,10/13/2024,SONIC DRIVE IN #6182,Food & Drink,Sale,-10.99,
10/11/2024,10/13/2024,TARGET        00032227,Shopping,Sale,-32.56,
10/12/2024,10/13/2024,UBER   *TRIP,Travel,Sale,-27.06,
10/11/2024,10/13/2024,IKON PASS,Entertainment,Sale,-1049.98,
10/11/2024,10/13/2024,CHICK-FIL-A #04488,Food & Drink,Sale,-14.06,
10/10/2024,10/11/2024,Store,Food & Drink,Sale,-15.05,
10/10/2024,10/11/2024,BROTHERS MARKETPLACE #404,Groceries,Sale,-27.21,
10/09/2024,10/11/2024,BARCELONA SOUTHEND (BWB),Food & Drink,Sale,-18.05,
10/10/2024,10/11/2024,LS CAMBRIDGE SPIRITS,Food & Drink,Sale,-34.99,
10/10/2024,10/11/2024,TST* THE BEEHIVE,Food & Drink,Sale,-85.34,
10/10/2024,10/11/2024,CVS/PHARMACY #11242,Health & Wellness,Sale,-15.71,
10/10/2024,10/11/2024,BROTHERS MARKETPLACE #404,Groceries,Sale,-2.34,
10/09/2024,10/10/2024,BROTHERS MARKETPLACE #404,Groceries,Sale,-17.36,
10/08/2024,10/10/2024,TST*SHY BIRD,Food & Drink,Sale,-23.81,
10/09/2024,10/10/2024,BSPT-CAM,Health & Wellness,Sale,-9.14,
10/08/2024,10/10/2024,TST*ALDEN AND HARLOW - T,Food & Drink,Sale,-257.81,
10/08/2024,10/09/2024,TST* ACEITUNA CAFE,Food & Drink,Sale,-15.99,
10/08/2024,10/09/2024,TST* ACEITUNA CAFE,Food & Drink,Sale,-15.99,
